,Iteration,Sigma 0,J20,X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s),Sigma x,Sigma y,Sigma z,Sigma vx,Sigma vy,Sigma vz,Sigma J20
0,1.0,0.010477922929849788,-1.8651623521264115e-10,42122.8329901967,-0.000753267723921347,-0.000750314524571759,-8.34724885489973e-08,1.66289154119972,2.58980043057885,0.00033989343856804084,0.0005442931349057175,0.00046974843680569977,8.692459785254791e-12,4.0816994197838895e-12,2.975858905689093e-12,2.6373478301611567e-11
1,2.0,0.00978918594698099,9.981348372711377e-08,42122.8329901967,-0.00075326772376636,-0.000750314524286653,-8.34724886023282e-08,1.66289154119972,2.58980043057885,2.0739364831287626,0.3118425544013054,0.2744437588922153,3.5954505693724026e-09,5.415645765432508e-09,9.635186680154425e-09,6.72671505553146e-06
2,3.0,0.009113579794864868,1.9981339252516785e-07,42122.8329901967,-0.00075326772376636,-0.000750314480630908,-8.34724868259713e-08,1.66289154119972,2.58980043057885,0.0003270221346289167,0.0004041108993434484,0.0004650376959414426,7.629156827738712e-12,3.955010391225876e-12,3.2678163905530025e-12,2.3112760107241903e-11
3,4.0,0.008454251453661065,2.998133925617621e-07,42122.8329901967,-0.000753267723640238,-0.000750314480348023,-8.34724868808794e-08,1.66289154119972,2.58980043057885,0.0002910955905013858,0.0003902969453529116,0.0004175735635520089,7.052679392692895e-12,3.561563783401891e-12,2.849957623626251e-12,5.35006497849463e-12
4,5.0,0.007815323486624785,3.998133925798707e-07,42122.8329901967,-0.000753267723509232,-0.000750314480069024,-8.34724869345949e-08,1.66289154119972,2.58980043057885,0.0002660025871046611,0.00036564216123850964,0.00038185704625400685,6.5133030873311205e-12,3.2611801146855018e-12,2.581947307256104e-12,2.1967240107547057e-12
5,6.0,0.00720222629647826,4.998133925926261e-07,42122.8329901967,-0.00075326772337978,-0.00075031447978192,-8.34724869887745e-08,1.66289154119972,2.58980043057885,0.00024382801258865727,0.0003392046843434075,0.00035000209745849004,5.99961125883337e-12,2.991279776837875e-12,2.355716664196297e-12,1.1383648794888876e-12
6,7.0,0.006622138154175778,5.99813392601641e-07,42122.8329901967,-0.00075326772323645,-0.000750314479504087,-8.34724870430185e-08,1.66289154119972,2.58980043057885,0.00022350306866113388,0.0003131280265350371,0.00032076945275450033,5.514935454065831e-12,2.74268583492208e-12,2.1530810065362795e-12,6.697474207131584e-13
7,8.0,0.006084508436732179,6.998133926088872e-07,42122.8329901967,-0.000753267723105943,-0.000750314479216595,-8.34724870969016e-08,1.66289154119972,2.58980043057885,0.0002049504642409344,0.000288469801875425,0.0002940905389961016,5.0663373392985436e-12,2.515359124804502e-12,1.970443147458577e-12,4.27288644694421e-13
8,9.0,0.005601575384188424,7.998133926150832e-07,42122.8329901967,-0.000753267722971218,-0.000750314478935098,-8.34724871503003e-08,1.66289154119972,2.58980043057885,0.0001884217159503897,0.00026607673592865717,0.0002703305124407276,4.663656891402039e-12,2.3126616371909484e-12,1.808921930045728e-12,2.8898379563580086e-13
9,10.0,0.005188633855953573,8.998133926202576e-07,42122.8329901967,-0.000753267722834244,-0.000750314478654863,-8.34724872037802e-08,1.66289154119972,2.58980043057885,0.00017435267643459786,0.0002468116433171742,0.0002501123383598056,4.319475108368707e-12,2.140065312261409e-12,1.6720243748907959e-12,2.049289159169118e-13
10,11.0,0.004863544825283214,9.998133926248433e-07,42122.8329901967,-0.000753267722694634,-0.000750314478373575,-8.34724872578057e-08,1.66289154119972,2.58980043057885,0.00016330007181221195,0.00023160311953665988,0.00023423073242725018,4.048569926885459e-12,2.00444952322792e-12,1.5646883608389918e-12,1.5176629957112152e-13
11,12.0,0.004644791764441565,1.0998133926289005e-06,42122.8329901967,-0.000753267722560713,-0.000750314478091578,-8.34724873110222e-08,1.66289154119972,2.58980043057885,0.00015585789769228888,0.00022138123419688957,0.0002235343526601908,3.866262586162506e-12,1.913123417478481e-12,1.492347455000155e-12,1.1739661004230978e-13
12,13.0,0.00454774500032902,1.1998133926325795e-06,42122.8329901967,-0.000753267722425557,-0.000750314477808083,-8.34724873646144e-08,1.66289154119972,2.58980043057885,0.00015252421214451546,0.00021691216768922683,0.00021873500507881214,3.785319478727818e-12,1.8722175717968853e-12,1.4595964597266423e-12,9.499158249830687e-14
13,14.0,0.004580147600022733,1.2998133926358855e-06,42122.8329901967,-0.000753267722290859,-0.000750314477524955,-8.34724874180281e-08,1.66289154119972,2.58980043057885,0.0001535465803099232,0.0002185889978624395,0.00022018532960626602,3.812149186014612e-12,1.8847742496787775e-12,1.4686803683231305e-12,8.038574964527858e-14
